date,code,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
2013-10-27,sz300293,19.4,20.9,17.5,17.57,-0.0994359343192236,13872902.0,266262141.64999998,790650000.0,3162600000.0,0.3082867111111111,53.510171,2013-06-30,2013-08-26,30.385552,4.04507,-5.867079,4.859074,11.168215
2013-11-03,sz300293,17.95,18.7,15.48,15.95,-0.09220304116081246,8663071.0,147473141.35,717750000.0,2871000000.0,0.1925126888888889,48.576370000000004,2013-09-30,2013-10-28,27.956449,3.4530230000000004,-5.629452,4.342215,10.138471000000001
2013-11-10,sz300293,16.11,17.4,15.66,15.89,-0.0037621603807724835,6812289.0,112796429.32999998,715050000.0,2860200000.0,0.1513842,48.393618,2013-09-30,2013-10-28,27.851273,3.440032,-5.6082730000000005,4.3258790000000005,10.100328999999999
2013-11-17,sz300293,15.89,17.35,15.7,17.13,0.07803688091389649,8425458.0,140394860.14,770850000.0,3083400000.0,0.1872324,52.170105,2013-09-30,2013-10-28,30.024699,3.708482,-6.045925,4.663457,10.888527
2013-11-24,sz300293,17.33,18.2,17.08,17.83,0.0408639241940123,12529509.0,222062464.01999998,802350000.0,3209400000.0,0.27843353333333326,54.30198000000001,2013-09-30,2013-10-28,31.251626,3.860025,-6.292985,4.854024,11.333475
2013-12-01,sz300293,17.8,19.23,17.51,18.74,0.05103636743235351,13149120.0,240572598.08999997,843300000.0,3373200000.0,0.2922026666666666,57.073356000000004,2013-09-30,2013-10-28,32.846596000000005,4.0570260000000005,-6.6141559999999995,5.101756,11.911894
2013-12-08,sz300293,17.22,17.92,15.69,16.32,-0.12913581818249542,10902584.0,182270843.4,734400000.0,2937600000.0,0.24227964444444444,49.703142,2013-09-30,2013-10-28,28.604924,3.533119,-5.760032,4.442936,10.373642
2013-12-15,sz300293,16.46,18.22,16.36,18.22,0.11642189994098895,10198271.0,176160912.74,819900000.0,3279600000.0,0.22662824444444443,55.489676,2013-09-30,2013-10-28,31.935163,3.9444510000000004,-6.430626,4.960191,11.581361
2013-12-22,sz300293,18.25,18.54,16.65,17.1,-0.06147064722877127,10787641.0,189679382.97,769500000.0,3078000000.0,0.2397253555555556,52.07869,2013-09-30,2013-10-28,29.972088,3.7019830000000002,-6.035330999999999,4.655285,10.869447000000001
2013-12-29,sz300293,17.16,19.62,15.84,19.62,0.1473691312913219,16373146.0,295385068.43,882900000.0,3531600000.0,0.3638476888888889,59.75348100000001,2013-09-30,2013-10-28,34.389049,4.247541,-6.924752000000001,5.341330999999999,12.471267999999998
